rank,title,year,worldwide_box_office,domestic_box_office,foreign_box_office,movie_url
187,Hancock,"$401,497,154","$629,443,428","$227,946,274",36.2%,https://www.boxofficemojo.com/title/tt0448157/?ref_=bo_cso_table_187
188,Water Gate Bridge,"$626,454,403","$626,571,697","$117,294",<0.1%,https://www.boxofficemojo.com/title/tt16194408/?ref_=bo_cso_table_188
189,Fast Five,"$416,302,337","$626,140,012","$209,837,675",33.5%,https://www.boxofficemojo.com/title/tt1596343/?ref_=bo_cso_table_189
190,Iron Man 2,"$311,500,000","$623,933,331","$312,433,331",50.1%,https://www.boxofficemojo.com/title/tt1228705/?ref_=bo_cso_table_190
191,Ratatouille,"$417,299,451","$623,745,105","$206,445,654",33.1%,https://www.boxofficemojo.com/title/tt0382932/?ref_=bo_cso_table_191
192,Ant-Man and the Wasp,"$406,025,399","$622,674,139","$216,648,740",34.8%,https://www.boxofficemojo.com/title/tt5095030/?ref_=bo_cso_table_192
193,How to Train Your Dragon 2,"$444,534,595","$621,537,519","$177,002,924",28.5%,https://www.boxofficemojo.com/title/tt1646971/?ref_=bo_cso_table_193
194,Logan,"$392,903,408","$619,180,476","$226,277,068",36.5%,https://www.boxofficemojo.com/title/tt3315342/?ref_=bo_cso_table_194
195,Superman,"$264,500,000","$618,723,803","$354,223,803",57.2%,https://www.boxofficemojo.com/title/tt5950044/?ref_=bo_cso_table_195
196,The Lost World: Jurassic Park,"$389,552,320","$618,638,999","$229,086,679",37%,https://www.boxofficemojo.com/title/tt0119567/?ref_=bo_cso_table_196
197,Casino Royale,"$449,139,792","$616,585,752","$167,445,960",27.2%,https://www.boxofficemojo.com/title/tt0381061/?ref_=bo_cso_table_197
198,The Wandering Earth II,"$610,000,000","$615,023,132","$5,023,132",0.8%,https://www.boxofficemojo.com/title/tt13539646/?ref_=bo_cso_table_198
199,Pegasus 3,"$613,411,740","$614,786,686","$1,374,946",0.2%,https://www.boxofficemojo.com/title/tt38035835/?ref_=bo_cso_table_199
200,The Passion of the Christ,"$239,282,291","$610,065,221","$370,782,930",60.8%,https://www.boxofficemojo.com/title/tt0335345/?ref_=bo_cso_table_200
